id,Mendeley,year,citation,venue,category,construct name
C10,https://www.mendeley.com/reference-manager/reader-v2/b5b6d7c9-e155-35e2-a06e-d3cfd399e4da/1429940c-d4f2-3313-79ba-e68fea32a656,2008,"Marcus, A., Poshyvanyk, D., & Ferenc, R. (2008). Using the conceptual cohesion of classes for fault prediction in object-oriented systems. IEEE Transactions on Software Engineering, 34(2), 287-300.",journal,,Software cohesion
C11,https://www.mendeley.com/reference-manager/reader-v2/8dad06fa-0fe1-3ad6-8c61-5aa9a735f302/1ab1acbd-e680-3ae3-7882-d6c607532bee,2018,"Tashima, K., Aman, H., Amasaki, S., Yokogawa, T., & Kawahara, M. (2018, August). Fault-prone java method analysis focusing on pair of local variables with confusing names. In 2018 44th Euromicro Conference on Software Engineering and Advanced Applications (SEAA) (pp. 154-158). IEEE.",conference,identifier quality (confiusing name) <> fault proneness,Confusing variables
C12,https://www.mendeley.com/reference-manager/reader-v2/5512c286-6628-308b-9225-83b0ce965b8b/39f486b0-6955-389b-036b-2152e654452e,2016,"Aman, H., Amasaki, S., Yokogawa, T., & Kawahara, M. (2016, December). Local Variables with Compound Names and Comments as Signs of Fault-Prone Java Methods. In QuASoQ/TDA@ APSEC (pp. 4-11).",workshop,"local variables with compound names - fault proneness, method body comments - fault proneness",Local variables
C13,https://www.mendeley.com/reference-manager/reader-v2/d83fc13f-fced-35ec-b172-6509104ac6c9/0903fb4c-3d0d-d147-2494-2802dc647e9a,2017,"Suzuki, S., Aman, H., & Kawahara, M. (2017, July). Empirical Study of Fault-Prone Method's Name and Implementation: Analysis on Three Prefixes-Get, Set and Be. In 2017 5th Intl Conf on Applied Computing and Information Technology/4th Intl Conf on Computational Science/Intelligence and Applied Informatics/2nd Intl Conf on Big Data, Cloud Computing, Data Science (ACIT-CSII-BCD) (pp. 260-265). IEEE.",conference,identifier quality (naming bugs) <> fault proneness,Method names
C14,https://www.mendeley.com/reference-manager/reader-v2/8830df35-884d-3f1e-bedb-a0f90ee05e40/5f7cbf6b-05ad-e8cf-03e4-f0543f251866,2017,"Guerrouj, L., Kermansaravi, Z., Arnaoudova, V., Fung, B. C., Khomh, F., Antoniol, G., & Guéhéneuc, Y. G. (2017). Investigating the relation between lexical smells and change-and fault-proneness: an empirical study. Software Quality Journal, 25, 641-670.",journal,"identifier quality (LBS) > change proneness
identifier quality (LBS) > fault proneness",Lexical smells
C15,https://www.mendeley.com/reference-manager/reader-v2/8274cd9c-f8b6-3394-ba7d-d2142456c529/2282c823-f08f-86cd-3fb9-e17cc689a042,2015,"Kawashima, N., & Mizuno, O. (2015). Predicting fault-prone modules by word occurrence in identifiers. Software Engineering Research, Management and Applications, 87-98.",journal,number of words in identifiers > fault proneness,Modules
C2,https://www.mendeley.com/reference-manager/reader-v2/0d121a33-ec27-3e24-a68a-d927fcfe9f0b/6d6993b6-a82f-67a3-7860-c97bdf47f7c6,2009,"Butler, S., Wermelinger, M., Yu, Y., & Sharp, H. (2009, October). Relating identifier naming flaws and code quality: An empirical study. In 2009 16th Working Conference on Reverse Engineering (pp. 31-35). IEEE.
",conference,identifier quality < fault proneness,Identifier naming flaws
C3,https://www.mendeley.com/reference-manager/reader-v2/f8fe7b6d-e54d-3dae-a412-9e094a2426b3/643b4841-a52d-fb87-5b50-a06542536ef2,2010,"Butler, S., Wermelinger, M., Yu, Y., & Sharp, H. (2010, March). Exploring the influence of identifier names on code quality: An empirical study. In 2010 14th European Conference on Software Maintenance and Reengineering (pp. 156-165). IEEE.",conference,identifier quality <> code quality,Identifier names
C4,https://www.mendeley.com/reference-manager/reader-v2/3557489b-ad5c-395f-9e8f-bb28c832b42a/71adb3b3-1cd5-fe75-7ce1-ac5884037bd6,2011,"Abebe, S. L., Haiduc, S., Tonella, P., & Marcus, A. (2011, September). The effect of lexicon bad smells on concept location in source code. In 2011 IEEE 11th International Working Conference on Source Code Analysis and Manipulation (pp. 125-134). Ieee.",conference,identifier quality (LBS) > concept location,Lexicon bad smells
C5,https://www.mendeley.com/reference-manager/reader-v2/96939ad4-48b7-3e4f-a575-9a7c7984203e/678bdfd5-450b-0fa7-7845-b35eb92fb05a,2012,"Kawamoto, K., & Mizuno, O. (2012, October). Predicting fault-prone modules using the length of identifiers. In 2012 Fourth International Workshop on Empirical Software Engineering in Practice (pp. 30-34). IEEE.",workshop,identifier length <> fault proneness,Identifier length
